# Rank est utilise pour trier les peintures;;;;;;;;
#   - '-1' ou pas de valeur, signifie que la date sera utilisee pour le tri (la plus recente en premier);;;;;;;;
#   - une valeur positive signifie qu'on utilise cette valeur pour le tri (valeurs les plus fortes apparaissent en premier);;;;;;;;
#;;;;;;;;
# ID sert a rechercher le titre, la description ainsi que les mots cles (Alt) dans les fichiers messages correspondants.;;;;;;;;
#;;;;;;;;
# Status permet par exemple d'indiquer qu'un tableau a ete vendu ou qu'il n'est pas a vendre.;;;;;;;;
"#   ""vendu"" -> le tableau a ete vendu";;;;;;;;
"#   ""indisponible"" -> le tableau n'est pas a vendre";;;;;;;;
#   Si la colonne est vide, le tableau est disponible;;;;;;;;
#;;;;;;;;
# Series est utilise pour permettre de grouper des tableaux;;;;;;;;
#   - un tableau peut appartenir a plusieurs series;;;;;;;;
#   - dans la colonne series, on peut mettre plusieurs series en separant leurs cles par un espace: par ex, ;;;;;;;;
"# ""watermirror australia""";;;;;;;;
#   - l’identifiant de la serie doit etre un mot unique sans espace ou caractere special;;;;;;;;
#   - l'intitule de la serie (ce qu'on affiche) doit etre defini dans les fichiers messages;;;;;;;;
#;;;;;;;;
# Pour ne pas afficher un tableau, il suffit de commenter la ligne correspondante;;;;;;;;
#;;;;;;;;
# rank;ID;filename;date;height;width;type;status;series
#-1;MatinDonazacOlen;Acrylique/20210624_Lever soleil sur Donazac.jpg;20210610;28;38;acrylic;;emergence
-1;GuillaumePense;Acrylique/20210722_GuillaumePensePiscine_AC20x20.jpg;20210710;20;20;acrylic;indisponible;emergence
-1;TroueeBois;Acrylique/20210801_OlenLaTroueeDonazac_AC33x24.jpg;20210810;33;24;acrylic;indisponible;emergence
#-1;LagonTahaa;Acrylique/20210815_Polynesie-PascaleEtLuc.jpg;20210815;33;46;acrylic;;emergence
#-1;PromenadePaillon;Acrylique/20210826_Jeux d eaux Nice_Acrylic.jpg;20210826;12;18;acrylic;;emergence
-1;Aviateur;Acrylique/20211003_LucPlanneur_AC30x40.jpg;20211003;30;40;acrylic;indisponible;emergence
-1;PortraitGuillaumeTetine;Acrylique/20211019_PortraitGuillaumeTetine_AC33x24.jpg;20211019;33;24;acrylic;indisponible;emergence
-1;Royal;Acrylique/20211105_OlenEnPied_AC55x46.jpg;20211105;55;46;acrylic;indisponible;emergence
-1;JeuxVagues;Acrylique/20211127_JeuxDeVagues_AC45x55.jpg;20211127;45;55;acrylic;indisponible;watermirror
